MentionID,TranscriptID,NewsProgram,ChannelType,TimePeriod,CaseID,IssueArea,CaseStage,WordCountRAND,MultiMention,MultiMentionType,MentionContext,AnchorOnly,Correspondent,Debate,NewsInterview
2002083DFox062603,Fox062603,SpecialReport,CableNews,2000_2018,2002083,SexDiscrimination,Decision,"2,800",0,NA,1,0,1,1,1
2002083DMSNBC062703,MSNBC062703,Hardball,CableNews,2000_2018,2002083,SexDiscrimination,Decision,"3,305",0,NA,1,0,0,1,0
2002083PAFox042203,Fox042203,SpecialReport,CableNews,2000_2018,2002083,SexDiscrimination,PostArgument,"1,220",0,NA,1,0,0,1,0
2002083PAFox042303,Fox042303,SpecialReport,CableNews,2000_2018,2002083,SexDiscrimination,PostArgument,523,0,NA,1,0,1,0,0
2002083PAFox042403,Fox042403,SpecialReport,CableNews,2000_2018,2002083,SexDiscrimination,PostArgument,"1,263",0,NA,1,1,0,1,0
2002083PAMSNBC042203,MSNBC042203,Hardball,CableNews,2000_2018,2002083,SexDiscrimination,PostArgument,"1,351",0,NA,3,0,0,1,0
2002083PAMSNBC050903,MSNBC050903,Hardball,CableNews,2000_2018,2002083,SexDiscrimination,PostArgument,286,0,NA,3,0,0,1,0
1999088PDMSNBC072105,MSNBC072105,Hardball,CableNews,2000_2018,1999088,Abortion,PostDecision,86,0,NA,3,0,0,1,0
2006027PDFox040407,Fox040407,SpecialReport,CableNews,2000_2018,2006027,EconomicActivity,PostDecision,86,0,NA,3,1,0,0,0
2013070PDFox011818,Fox011818,SpecialReport,CableNews,2000_2018,2013070,FirstAmendment,PostDecision,86,0,NA,3,0,1,0,0
2002083PDMSNBC062812,MSNBC062812,Hardball,CableNews,2000_2018,2002083,SexDiscrimination,PostDecision,87,1,Separate,2,0,1,0,0
1991117PDFox011601,Fox011601,SpecialReport,CableNews,2000_2018,1991117,Abortion,PostDecision,87,0,NA,3,1,0,0,0
2013070PDFox033015,Fox033015,SpecialReport,CableNews,2000_2018,2013070,FirstAmendment,PostDecision,88,0,NA,3,0,0,1,0
2014070PDFox042116,Fox042116,SpecialReport,CableNews,2000_2018,2014070,SexDiscrimination,PostDecision,88,0,NA,3,0,0,1,0
1991117PDMSNBC072505,MSNBC072505,Hardball,CableNews,2000_2018,1991117,Abortion,PostDecision,89,0,NA,3,0,0,0,1
1991117PDMSNBC070918,MSNBC070918,Hardball,CableNews,2000_2018,1991117,Abortion,PostDecision,90,1,Separate,2,0,0,0,1
1999088PDABC022106,ABC022106,WorldNewsTonight,NetworkNews,2000_2018,1999088,Abortion,PostDecision,90,1,Secondary,2,0,1,0,0
2013070PDFox010115,Fox010115,SpecialReport,CableNews,2000_2018,2013070,FirstAmendment,PostDecision,90,0,NA,3,0,1,0,0
2012079PDMSNBC100114,MSNBC100114,Hardball,CableNews,2000_2018,2012079,SexDiscrimination,PostDecision,91,0,NA,3,0,0,1,0
2014070PDMSNBC071415,MSNBC071415,Hardball,CableNews,2000_2018,2014070,SexDiscrimination,PostDecision,93,0,NA,3,0,0,1,0
1993035PDABC092394,ABC092394,WorldNewsTonight,NetworkNews,1990_1999,1993035,SexDiscrimination,PostDecision,94,0,NA,3,0,1,0,0
2009012PDMSNBC070918,MSNBC070918,Hardball,CableNews,2000_2018,2009012,FirstAmendment,PostDecision,97,1,Separate,2,0,0,1,0
2012077PDFox042815,Fox042815,SpecialReport,CableNews,2000_2018,2012077,SexDiscrimination,PostDecision,97,1,Secondary,2,0,0,1,0
2002083PDFox102606,Fox102606,SpecialReport,CableNews,2000_2018,2002083,SexDiscrimination,PostDecision,97,0,NA,3,0,0,1,0
1999085PDMSNBC100212,MSNBC100212,Hardball,CableNews,2000_2018,1999085,SexDiscrimination,PostDecision,98,0,NA,3,1,0,0,0
2014070PDMSNBC062617,MSNBC062617,Hardball,CableNews,2000_2018,2014070,SexDiscrimination,PostDecision,99,1,Separate,1,1,0,0,0
1999088PDFox030802,Fox030802,SpecialReport,CableNews,2000_2018,1999088,Abortion,PostDecision,99,0,NA,3,1,0,0,0
2013070PDFox101714,Fox101714,SpecialReport,CableNews,2000_2018,2013070,FirstAmendment,PostDecision,99,0,NA,3,0,1,0,0
1991117PDMSNBC062716,MSNBC062716,Hardball,CableNews,2000_2018,1991117,Abortion,PostDecision,100,1,Secondary,2,0,1,0,0
1999085PDFox041701,Fox041701,SpecialReport,CableNews,2000_2018,1999085,SexDiscrimination,PostDecision,100,0,NA,3,1,0,0,0
2009012PDMSNBC062915,MSNBC062915,Hardball,CableNews,2000_2018,2009012,FirstAmendment,PostDecision,101,1,Secondary,2,0,0,1,0
1999085PDABC110502,ABC110502,WorldNewsTonight,NetworkNews,2000_2018,1999085,SexDiscrimination,PostDecision,101,0,NA,3,0,1,0,0
2012077PDFox010614,Fox010614,SpecialReport,CableNews,2000_2018,2012077,SexDiscrimination,PostDecision,102,0,NA,3,0,1,0,0
2009012PDFox030713,Fox030713,SpecialReport,CableNews,2000_2018,2009012,FirstAmendment,PostDecision,103,0,NA,2,0,1,0,0
2007069PDMSNBC101008,MSNBC101008,Hardball,CableNews,2000_2018,2007069,EconomicActivity,PostDecision,103,0,NA,3,0,0,1,0
1996059PDFox120517,Fox120517,SpecialReport,CableNews,2000_2018,1996059,EconomicActivity,PostDecision,103,1,Separate,3,0,1,0,0
